Name,x,y,z
Caeramu Tie,-77.15625,-49.625,-95.53125
Rhibonii,-72.90625,-50.5,-91.96875
Thaditic,-112.3125,-71.09375,-91.65625
HIP 5881,-110.28125,-64.625,-88.53125
Latuca,-99.8125,-19.5625,-99.4375
Arietis Sector GW-W c1-13,-99.28125,-94.3125,-121.625
Arietis Sector DL-Y d95,-101.40625,-84.9375,-126.375
Taribes,-62.3125,-42.75,-62.75
Arietis Sector ND-S b4-2,-103.4375,-63.96875,-114.71875
Gucuma,-73.3125,-80.375,-114.03125
HIP 6512,-123.21875,-86.25,-107.4375
Arietis Sector GW-W c1-8,-78.1875,-81.90625,-117.78125
LHS 1275,-61,-57.78125,-63.9375
Burigpa,-84.09375,-100.15625,-82.40625
Urvasini,-104.78125,-31.125,-77.9375
Pegasi Sector BV-X b1-7,-135.875,-63.125,-69.125
Bibri,-114.96875,-99.625,-60.09375
Arietis Sector FW-W c1-4,-135.71875,-77.96875,-114.1875
Ageno,-50.9375,-48.09375,-99.875
Mitnahas,-46.65625,-72.75,-98.4375
Konorubang,-119.1875,-98.59375,-83.6875
Mudusitoq,-47.71875,-84.0625,-90.53125
Charang,-82.96875,-84.21875,-119.53125
HIP 1987,-121.25,-35.46875,-66.90625
Arietis Sector FW-W c1-16,-139.34375,-81.3125,-106.4375
Coriosolite,-134.09375,-34.75,-93.375
Ross 546,-85,-35.34375,-67.65625
Ekur,-119.3125,-52.875,-56.15625
Savantzil,-68.21875,-36.53125,-111.75
Arietis Sector DB-X c1-4,-130.8125,-56.625,-112.3125
Ross 545,-104.53125,-106.875,-90.78125
23 Arietis,-40.71875,-64.4375,-71.375
Cerre,-138.875,-60.625,-75.96875
Guruku Yi,-76.5,-79.46875,-38.0625
Gucumadhyas,-89.6875,-97.09375,-76.875
Russa,-118.3125,-80.03125,-52.96875
Wunab,-84.625,-41.1875,-63.125
Arietis Sector DB-X c1-6,-114.03125,-60.3125,-114.78125
Pokoto,-144.28125,-53.25,-69.0625
Haritanis,-64.5625,-89.625,-70.65625
HR 17,-87.40625,-45.1875,-39.03125
Silvandza,-101.21875,-49.71875,-50.5625
Kemuru,-118.84375,-29.3125,-81.875
BD+23 296,-54.40625,-68.28125,-81.59375
Kalak,-54.96875,-73.90625,-68.78125
HIP 7245,-103,-91.375,-101.03125
HIP 11273,-86.4375,-22.78125,-97.65625
Tamali,-110.125,-49.65625,-41.53125
Wonorne Nu,-69.46875,-47,-50.03125
Puelchel,-127.875,-55.03125,-65.78125
Yerava,-55.34375,-53.875,-72.34375
Lalande 46867,-103.84375,-69.9375,-35.6875
Nastrond,-75.34375,-40.4375,-56.75
Piscium Sector GH-V b2-0,-100.21875,-62.71875,-44.125
Amphiloci,-102.75,-41.03125,-88.21875
Woda,-55.875,-78.3125,-80.1875
Mbuts,-135.0625,-71.625,-60.53125
23 Andromedae,-95.625,-40.9375,-46.3125
Wandrama,-90.25,-103.3125,-94.96875
Mu Andromedae,-97.4375,-52.9375,-67.375
Kutjarasvat,-72.9375,-60.4375,-117.09375
Epsilon Andromedae,-118.34375,-89.78125,-69.09375
Kong,-93.21875,-37.21875,-120.15625
Djinaura,-91.03125,-36.75,-60.5625
Mopanekpen,-78.75,-41.46875,-115.625
HIP 7705,-123.03125,-53.03125,-112.46875
Taiowahungu,-122.84375,-39.03125,-58.375
Manhotti,-118.90625,-98.75,-99.875
Obamboro,-126.09375,-31.78125,-82.53125
